품목명,HS코드
농가 사육용,101211000
기타,101219000
경주말,101291000
당나귀,101300000
젖소,102211000
육우(肉牛),102212000
번식용,102310000
중량이 50킬로그램 미만인 것,103910000
중량이 50킬로그램 이상인 것,103920000
젖염소,104201000
칠면조,105120000
거위,105140000
기니아새,105150000
오리,1059910
영장류,106110000
"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)",106121000
"물개, 바다사자와 바다코끼리(기각아목의 포유동물)",106122000
낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],106130000
개,106191000
사슴,106193000
곰,106194000
여우,1061950
밍크,1061960
뱀,106201000
자라,106202000
거북,106203000
맹금류,106310000
앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],106320000
타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],106330000
벌,106410000
양서류,106901000
환형동물류,1069030
갯지렁이,106903010
실지렁이,106903020
도체(屠體)와 이분도체(二分屠體),201100000
갈비,201201000
뼈 없는 것,201300000
넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),203120000
삼겹살,203191000
어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),204100000
그 밖의 것으로서 뼈째로 절단한 것,204220000
어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),204300000
염소의 고기,204500000
"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)",205000000
소의 것(신선한 것이나 냉장한 것으로 한정한다),206100000
혀,206210000
간,206220000
꼬리,206291000
족,206292000
돼지의 것(신선한 것이나 냉장한 것으로 한정한다),206300000
기타(신선한 것이나 냉장한 것으로 한정한다),206800000
기타(냉동한 것으로 한정한다),206900000
절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),207110000
절단하지 않은 육(냉동한 것으로 한정한다),207120000
절단육,207131000
설육(屑肉),2071320
다리,207141010
가슴,207141020
날개,207141030
지방간(신선한 것이나 냉장한 것으로 한정한다),207430000
토끼의 것,208100000
영장류의 것,208300000
"고래 ∙ 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티·듀공(바다소목의 포유동물)의 것",208401000
물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것,208402000
파충류의 것(뱀과 거북을 포함한다),208500000
낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것,208600000
사슴의 것,208901000
해양동물의 것,208909010
돼지의 것,209100000
복부살(삼겹살)과 이를 절단한 것,210120000
건조하거나 훈제한 것,210201000
"고래 ∙ 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)의 것",210921000
육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루,2109910
소의 것,210991010
가금(家禽)류의 것,210999020
비단잉어,301111000
송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)],301910000
실뱀장어(한 마리당 0.3그램 이하인 것으로서 양식용으로 한정한다),301921000
새끼뱀장어(한 마리당 0.3그램 초과 50그램 이하인 것으로서 양식용으로 한정한다),301922000
실뱀장어(양식용은 제외한다),301929010
붕어[카라시우스(Carassius)속],301931000
대서양 참다랑어와 태평양 참다랑어[터너스 티너스 (Thunnus thynnus)ㆍ터너스 오리엔탈리스(Thunnus orientalis)],301940000
